id,year,month,day,record_type,text
acdf2096275061f2019bb708822c5aa9,2023,08,25,message,"Dear sir 
Good day to you. #helloworld We are Wholesale manufacturer and exporter in customized soccer uniform,baseball uniform and sports wear and undergarments etc.


1. We are expert team of managers, merchandisers, designers and most of all great professional stitching labour.

2. fast turnaround time.

3. artworks within 12-24hours.

4. warranty on our made goods

5. unbeatable quality and unbeatable prices

6. wide range of customization

7. we offer free samples

Feel free to tell us if you need any customized artwork or customized sample.

Hoping to hear from you soon on my offer!

Thank you so much!

asquareindustry524@gmail.com

Regards:
Asquareindustry 
Also contact us on WhatsApp: +923321208372"
0dd4388f06e4c5987e1f83e94e35a968,2016,04,13,post,Post to test EDITED Date...
4876e877b782dee565680606864c346d,2016,04,13,comment,Comment made by same property..
3c10b56783e0dea5ed710cbb546703fe,2021,07,15,message,Test
d58ad698de39413c98cab75982a98447,2021,07,16,message,Reply from milad
2819018a31c93f1210a8e5f6d6798d8f,2023,08,31,message,"Hello Sir/Madam

We are here to introduce our company WillPak Industries as a Manufacturer and Exporter of custom made T-SHIRTS, SHORTS, CAPS, SPORTSWEAR, SOCCER UNIFORM, BASEBALL UNIFORM,FITNESS WEARS, and FIGHT/WRESTLING WEARS.

We can customize your logos at arts as per your requirements. 
Our company producing and exporting high quality products with a lead delivery of time at very fair prices around the globe.

We can send you samples to show you our quality, If you are interested in any of our product please let us know.

Best Regard, 
Bilal Jahangir

Email Us: willpakind@gmail.com"
b5ed52393e4fa91db489e93ee2dd8bd0,2024,01,17,message,What do you have orders for me?
1e9f3a3ae819ffbaee879d2da411fe4b,2023,11,28,message,Hey player ❤️🥰
90d695d4130dfdd372ca18f3dafa63bf,2016,04,08,comment,This is a comment to the post to test for historic capture.....
0e76c135a664d4c534dad078519a480d,2016,04,08,comment,Comment 2
7e5923df4565d7f6400f268b3b63736e,2024,02,16,comment,Has anyone seen a lost cat around where I live at 125 Queen St? Call me on 0412 015 190
b49c8c1cf9fd6b08b7fae0e69689a0d8,2023,09,12,message,"I Really would like to introduce MILANDA SPORTS a manufacturing company of customized soccer uniform, Rugby uniform, American Football uniform, Base ball uniform, Volleyball uniform Basketball uniform,Polo Casual wear & fitness wear based in SIALKOT PAKISTAN 

I would also like of offer our products to your Club, if you have interested. Of course samples will be provide to check the quality of our products 
Looking forward to hearing from you soon.
Kind regards 
Mr Safian"
7f91a679b38270fdd98ef4ff5304d808,2021,07,06,message,New test
7b9fad49bdfb80824b2f22e0d9acbaac,2024,01,17,message,Hello sir
e623dc1e826b50593d8bce942ffe5994,2018,09,25,message,test message
2373152486a20c2c0eeb7ad5d12add45,2016,04,08,post,PARENT FACEBOOK POST......
6cb3de97e99ea3b11d5775369ef1bff5,2016,04,08,comment,Comment 1
980ed2e5fa9927029bcd0c6d58882744,2018,11,08,comment,comment from ladoo test
1fea36cdbbd315403280da8703f6be2f,2018,08,28,message,reply with image
579a8d096af3a2a92f271b2b52f8f0f4,2019,08,20,comment,comment
d424cd6d2382be6a43516b2320ec6bda,2019,07,02,comment,Comment
c731a5212afa5f5235ee59f31617634b,2019,06,28,post,Instant again
570d337860eb932ca31378215a329114,2019,06,24,post,new Post
714f431ef05fdc762e9fdb013191fc21,2020,05,04,comment,4th reply
3ee19b06f966f1b26f40b4e20f86c0b6,2020,05,04,comment,5th reply
5f8d898c4a2c6609eb0fa5b41ee175b3,2019,06,29,post,gif photo
da5a932b0d2eb5bbdffda882f27596fc,2021,07,09,post,Text Post
31c348f4bbf261aa74f7eac5aa731271,2021,07,15,post,After Profile Update post
710251b48c735f4016c529ec611be8eb,2020,05,12,comment,comment with an image
b0ad761584ba7588f3a8db370a24d966,2022,02,01,comment,Yes it is
5df19d615e15b0ac23b7fffa626ea05a,2022,01,31,comment,test comment 2
d9a718d46a6b4633993facac2c22fed4,2021,07,06,post,Simple text with an image
c0f880870b252d805be56941adb8d521,2022,02,01,comment,This is too terribly bad
6a638f7f61f9e0413febb931bf03be11,2022,04,28,comment,Video Comment 1
2b148f470afa6caebe13a61f8ff0cdde,2022,04,28,comment,Image Comment 6
a3e5b2521d32274b85715259f9db8862,2022,04,28,comment,"Keyword Trigger ""lorem"" 9"
bbff2311c4996322b3bae86b93c498d5,2022,02,01,comment,I am confused again
f98a32c774e2c4759d10c884d3498017,2022,04,28,comment,"Keyword Trigger ""lorem"" 18"
aa966178582392d6145915b9aa0cabc1,2016,02,03,post,Hi Jerry Im making this post to check Live data....
3e7a8210fd16d6c78c80bb60153411ae,2022,04,28,comment,"Keyword Trigger ""lorem"" 6"
5f04714d013f67a3d84e115d4710d1dc,2022,04,28,comment,"Keyword Trigger ""lorem"" 2"
a49a0dc1b5ca2bf13e6d5969ac74884f,2022,02,01,comment,yes it is
238cf239b74ebca30848d13dd0092907,2022,01,31,comment,test comment 4
c9d8a38586e2d06c4e9aae602e21327e,2016,02,03,post,"this is a plain text to test with gap in between as displayed

This  is the end line after a Long empty space in between................"
482dc0b2e123cd43ea92c43cc08aed9f,2022,03,04,comment,This is fantastic
9a09b4cd7cdd40e0c71fbf3e994827f2,2022,04,27,comment,"Triggering Keyword list with ""ipsum"" followed by Unhide"
9bf441b264eb54d08b318543c63aac36,2022,04,27,comment,"Triggering Profanity filter with ""cunt"""
b25f5b56e2d5f20aaa45d7e555cde5e4,2022,04,28,comment,"Keyword Trigger ""lorem"" 22"
4519319dcbc05eadb476cae81dabe44d,2022,04,28,comment,"Profanity Trigger ""fuck"" 10"
dbe2ef2b0291275393e4b012c692ecae,2022,04,28,comment,"Keyword Trigger ""lorem"" 5"
d86291dd35497651518ec8cea8a812c9,2022,07,26,comment,This is a reply to LadooTest Brol
4042c4d01eded4b1f74f2348bfe22bcc,2022,04,28,comment,"Profanity Trigger ""fuck"" 5"
00356f2ae1cd17f7bcfa1cc5fc532efd,2022,04,28,comment,"Profanity Trigger ""fuck"" 24"
46655953ba0294870e619ad7906f527a,2022,04,28,comment,"Keyword Trigger ""lorem"" 30"
bde81043886a722aa2e78e45be0efeb2,2022,04,28,comment,"Keyword Trigger ""lorem"""
c16a7e85d46b8868b1fc031ade897195,2022,04,28,comment,"Keyword Trigger ""lorem"" 25"
d767b25c17b47cd73e10bb8aa81a37df,2022,04,27,comment,"Triggering Keyword list with ""lorem"""
0b13bb979d9f5522218eee717c7e0157,2022,04,28,comment,"Profanity Trigger ""fuck"" 7"
70946634269d5649c705bbf68280ae54,2022,04,28,comment,Video Comment 2
ad209ce143beb4a86e268bbd23db4f52,2022,04,28,comment,"Profanity Trigger ""fuck"" 4"
33ef860ccdaa94e352034635d27851e5,2022,05,24,comment,in 48 hours
04cff53372e46c48d25da68a917e2c4e,2022,04,28,comment,Image Comment 3
4c6cddfb859c7ed3f6853ad78cc2bef6,2022,04,28,comment,Regular Comment with Profile Picture 6
af809de5edde48678d36f75c832078e8,2022,04,28,comment,"Profanity Trigger ""fuck"" 23"
a22683b3f2a57558bf69dac207c583b8,2022,04,28,comment,"Profanity Trigger ""fuck"" 21"
c1af2e2a48ba7324bd339a843b9a684d,2022,04,28,comment,"Keyword Trigger ""lorem"" 3"
94414c9072abead7bc656a301d537371,2022,04,28,comment,"Keyword Trigger ""lorem"" 26"
18fc0f29b091fd1d0507c58766e1e897,2022,04,27,comment,"Try Triggering Keyword list with ""L0r3m"""
b6ea6d02c457d9d70bf34f3cded37f82,2022,04,28,comment,Regular Comment with Profile Picture 3
ddcc0aca5c0d1f2f3442ff55d22604f8,2022,08,12,post,"Engagement Test 2022-08-12
Image Test"
5c733e6f9d80bf26ab9ee91d1436ec08,2022,04,28,comment,"Profanity Trigger ""fuck"" 1"
a2e88d3fee005dc93369a9057154e1d6,2022,04,28,comment,Video Comment 4
c884a118bb06f9e4928abd184ad950be,2022,04,27,post,Actions test
c73c823b15264edd0b76139b1e128ead,2022,04,27,comment,"Triggering Keyword list with ""ipsum"""
fd51304b903b5d7006f58b2cbc6282e6,2022,04,27,post,"Action test 2 
Profanity Filter ON
Keyword Trigger list: ""lorem"", ""ipsum"", ""shit"", ""💩"""
c87cb32a7b56992a17528e9467ed74e3,2022,04,28,comment,Link Comment https://cultofthepartyparrot.com/ 2
8f2a409b6656500d6b22307c66884a5e,2022,05,24,comment,new comment after unblock
7f0aaadbfe44f424d9e2ac6c085fda83,2021,07,06,post,Test single video
5b8c33e1d6d1a19e58f3ecd87ad65ab3,2022,04,28,comment,Link Comment https://cultofthepartyparrot.com/ 1
cef556072cb2cdccad1fa5be24cf11b6,2023,12,12,comment,Test comment on old post
ca08c6c57e6e5023b04c4fb1f5369bac,2022,04,27,comment,"triggering profanity filter list with ""fuck"""
3ea5db7ec9405a5306ea5141077562c4,2022,04,28,comment,Image Comment 5
d59321c7a5846cce3bcb0ef7041478d4,2022,02,01,comment,New comment
003e438378f18fb59d3b66d56cec9d4a,2022,04,28,comment,"Profanity Trigger ""fuck"" 18"
19636b61b31fb8be1a3e1ba2ad713dd9,2022,04,28,comment,Regular Comment with Profile Picture 4
ab841d862abd5faef6f9c5eec5276255,2022,04,28,comment,"Keyword Trigger ""lorem"" 1"
03a332eedeab4ff739b6d7115470d342,2023,07,11,comment,can you see me?
43ac61034e614d2df9083b914f60f38b,2023,12,12,comment,"Sel Automation Example reply to comment, test hide from audience"
0a9021c555b3facb2c617504b1dd50b1,2022,02,01,comment,This is terrible!
e32f942ab5a6e51c54774f161c99f4d4,2022,04,28,comment,Image Comment 2
a31ff5a34595ec128e9fede6c418aaf7,2022,04,28,comment,"Keyword Trigger ""lorem"" 19"
818dfa67e4275e3230361716b0f6fbd9,2022,02,01,comment,new comment
c277c41a1e0d2b31f0b9fbbe813d1889,2022,07,26,comment,"Attempt to trigger link filter (external link)
https://www.google.com/"
605c0f14fc9e277408bdf96a18f01325,2024,02,26,comment,"Invest in Bitcoin today, trade on bitcoin today, cause it's taking over the global market"" for our investors a certified verified platform for you to secure your investments👉 http://hash-rise.com is the platform "" If you're a vendor pls contact me +2348142626746, I need one."
b94831b13c4e9948a12337a23e4cc40c,2022,04,22,message,hi how are you hope you are fine so we are manufacture and producer of sportswear stuff with customize logo and brand with unique design according to the customers requirement and even we can do customize many other apparel so do you have interest in it if you
bfa178a6b6895c2af6530ad9e2989a9f,2018,11,08,message,reply from ladoo test
7028dbba1b512aa378dfa5363869099c,2018,08,08,message,message from send message button 1
7faa2a97eaf5a036a0793394fc14b651,2016,04,08,comment,Reply 2
84180454f9e5a6b8af7825bd018bc26c,2016,04,08,comment,Reply 1
4994bbf4b593d4a6db8babc0ed7fbfc4,2016,04,08,post,This is a Post to test historic data capture after connecting to property....
21c9e34ad84989979f897004f486ac8a,2024,02,16,post,Brolly Protect Testing
cba04a2c46a95cfcbbacb6ac0d7d0ac7,2016,04,13,post,Post to test capture of comments....
cebd38f181c63160f70859c5fecd1849,2016,04,08,comment,This is a reply to the comment to test historic capture
4fdf30d1e0155951e00287ac6008e754,2023,09,30,message,Hi
79d17bab95a332faef3a9ff9032a8b49,2020,09,19,message,hy
00765c07be842203cbbda0e50a6a8c97,2024,01,17,message,"We are Manufacture and first oldest Supplier of Sports & Casual wear products, we have our industry and all digital facilities like Sublimation, Embroidery, etc."
1fa46b4c72ecba51d208f25034ccc02d,2019,07,18,message,https://edition.cnn.com/
7bf54cdef5b01d6963d89fecb2146284,2023,10,21,message,"Hi

We're specialists in premium brand clothing.
With strategic courier partnerships and competitive rates,
We're eager to enhance your product line. Let's discuss further.

📲92 332873 9275
📧 info@seswiftenterprises.com
🖥 https://seswiftenterprises.com/"
56af32a3bb1e721a34ed622a1b4bccdb,2019,09,13,message,Hi back
3723386472e65633719bba1780aff868,2022,02,01,comment,This is terribly bad!
638f1fca68574cc90178b7b4b672bfb5,2022,01,31,comment,test comment 3
f94e7dc282cf1eb412e2d26f225ed197,2021,05,13,comment,I love him too :)
6c25ba11b44c06b3e567712b587a3659,2019,06,25,post,"https://www.abc.net.au/news/2019-06-25/cricket-world-cup-australia-v-england-live-blog/11244642
https://www.bbc.com/"
6dac1f22433722d0498a4f521ce88175,2019,06,28,post,Watch this
29be0fe166c5dbbe39af1adc9da13fc6,2019,08,20,comment,comment
44f5db63451e668cfc8afaa5c85baf71,2019,09,16,post,Testing if screenshots work
456c8af1cdb63efcdea9750cc0965537,2020,05,04,comment,third reply
c8a65f4286e045fe1a6f10ef6d93c424,2020,03,30,comment,comment edited for the nth time time 2
f5b5d7c18c74e1b80745dde6351e0f16,2020,05,04,comment,new comment
49ce7d8ebbaecdc5e719b986e8bcc20a,2019,08,23,comment,Reply
fe0e42d29d8589dd8cdd65936a394b29,2020,05,12,comment,new comment
59c0c782f318136966546a85cdca55ec,2024,02,16,comment,"Invest in Bitcoin today, trade on bitcoin today, cause it's taking over the global market"" for our investors a certified verified platform for you to secure your investments👉 http://hash-rise.com is the platform "" If you're a vendor pls contact me +2348142626746, I need one."
2c14cb81946904e43d6af81fe14ff9ca,2024,02,26,comment,Has anyone seen a lost cat around where I live at 125 Queen St? Call me on 0412 015 190
03bd4b94751b952ec024383b03f862e2,2019,02,07,post,editibg
b896ef6593077c5edf3c3387584adb8c,2019,06,29,post,Gif - edited again
428a821a76052f4446331632ff3d4737,2019,07,02,comment,Reply
e8580de844490f4ac3ca67b12b90f813,2018,08,28,post,attachment
5a1a9b2cd2fd2d8291c2c00edf1d370e,2021,07,06,post,"Three images with a link
https://www.kmart.com.au/category/home-&-living/home-by-category/storage-&-organisation/kitchen-storage/jars-&-canisters/252157"
48a6d370b81c616a45e07b52c6f1832c,2019,08,23,comment,Comment
bb9dc85762fe68ab1d73ab46845c0321,2021,07,15,post,New Profile Pic
a4b6334a3ce06b920ff4948a67206332,2021,07,06,post,Send us a message
ff12bf520b7b360b04b763d00b05c5a2,2021,07,09,post,Yoo-hoo!
3e95639668c0119ced82ee925590f647,2021,07,06,post,Donate please
b261da05371953a2345a8af82ea9866b,2022,02,01,comment,What do you mean?
d483dbaef01c58015249119cfbaff5d9,2021,07,06,post,Simple text
14da2e7ded8b5b105d3653b2fae4e1b6,2022,02,01,comment,This is awesome!
